emotion,model_used,status,error,rationale,V_right_pole_score_0_1000,V_left_pole_score_0_1000,V_signed_score_m1000_to_p1000,V_direction_label,V_direction_code,V_confidence_0_1,A_right_pole_score_0_1000,A_left_pole_score_0_1000,A_signed_score_m1000_to_p1000,A_direction_label,A_direction_code,A_confidence_0_1,C_right_pole_score_0_1000,C_left_pole_score_0_1000,C_signed_score_m1000_to_p1000,C_direction_label,C_direction_code,C_confidence_0_1,U_right_pole_score_0_1000,U_left_pole_score_0_1000,U_signed_score_m1000_to_p1000,U_direction_label,U_direction_code,U_confidence_0_1,S_right_pole_score_0_1000,S_left_pole_score_0_1000,S_signed_score_m1000_to_p1000,S_direction_label,S_direction_code,S_confidence_0_1
elated,google/gemini-3-flash-preview,ok,,"Elated is a high-arousal, highly positive emotion reflecting triumph and mastery, typically occurring when a desired goal is achieved, resulting in high control and low uncertainty.",945,55,890,toward_right_pole,1,0.98,820,180,640,toward_right_pole,1,0.95,780,220,560,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,450,550,-100,toward_left_pole,-1,0.8
embarrassed,google/gemini-3-flash-preview,ok,,"Embarrassment is a self-conscious, social emotion involving negative valence, moderate arousal, and low agency, triggered by perceived failures in social presentation.",280,720,-440,toward_left_pole,-1,0.95,620,380,240,toward_right_pole,1,0.9,310,690,-380,toward_left_pole,-1,0.85,580,420,160,toward_right_pole,1,0.8,890,110,780,toward_right_pole,1,0.95
empathetic,google/gemini-3-flash-preview,ok,,"Empathetic is a highly social, positive state characterized by moderate arousal and a strong focus on understanding another person's perspective.",780,220,560,toward_right_pole,1,0.9,420,580,-160,toward_left_pole,-1,0.8,610,390,220,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.7,980,20,960,toward_right_pole,1,1.0
empty,google/gemini-3-flash-preview,ok,,"Emptiness is a low-arousal, negative state defined by a lack of internal substance, agency, and social connection, often associated with depression or grief.",180,820,-640,toward_left_pole,-1,0.95,120,880,-760,toward_left_pole,-1,0.9,210,790,-580,toward_left_pole,-1,0.85,450,550,-100,toward_left_pole,-1,0.8,150,850,-700,toward_left_pole,-1,0.85
enchanted,google/gemini-3-flash-preview,ok,,"Enchanted represents a high-valence, low-control state where one is pleasantly captivated by something wondrous, mysterious, or externally beautiful.",890,110,780,toward_right_pole,1,0.95,620,380,240,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,740,260,480,toward_right_pole,1,0.85,580,420,160,toward_right_pole,1,0.75
encouraged,google/gemini-3-flash-preview,ok,,"Encouraged is a positive, moderately arousing state characterized by high agency and social connection, typically reducing uncertainty about future success.",845,155,690,toward_right_pole,1,0.95,610,390,220,toward_right_pole,1,0.9,780,220,560,toward_right_pole,1,0.92,320,680,-360,toward_left_pole,-1,0.85,680,320,360,toward_right_pole,1,0.88
energized,google/gemini-3-flash-preview,ok,,"Energized is a high-arousal, positive state reflecting significant agency and readiness, typically focused on internal drive rather than external social orientation.",820,180,640,toward_right_pole,1,0.95,880,120,760,toward_right_pole,1,0.98,740,260,480,toward_right_pole,1,0.9,310,690,-380,toward_left_pole,-1,0.85,450,550,-100,toward_left_pole,-1,0.8
enraged,google/gemini-3-flash-preview,ok,,"Enraged represents peak intensity anger, characterized by high arousal, high agency, and extreme negative valence, usually directed at an external target.",85,915,-830,toward_left_pole,-1,0.98,960,40,920,toward_right_pole,1,0.99,720,280,440,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.8,640,360,280,toward_right_pole,1,0.88
enthralled,google/gemini-3-flash-preview,ok,,"Enthralled describes a highly positive, aroused state of being captivated, where the external stimulus holds significant power over the subject's attention.",880,120,760,toward_right_pole,1,0.95,720,280,440,toward_right_pole,1,0.9,350,650,-300,toward_left_pole,-1,0.85,410,590,-180,toward_left_pole,-1,0.8,620,380,240,toward_right_pole,1,0.75
enthusiastic,google/gemini-3-flash-preview,ok,,"Enthusiasm is a high-arousal, positive emotion characterized by strong agency and goal-directed energy, typically associated with predictable positive prospects.",880,120,760,toward_right_pole,1,0.95,760,240,520,toward_right_pole,1,0.95,720,280,440,toward_right_pole,1,0.9,310,690,-380,toward_left_pole,-1,0.85,580,420,160,toward_right_pole,1,0.8
envious,google/gemini-3-flash-preview,ok,,"Envy is a socially-oriented, unpleasant state of low control, driven by comparing one's own perceived lack against another's advantage.",240,760,-520,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.9,380,620,-240,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
euphoric,google/gemini-3-flash-preview,ok,,"Euphoria is a high-arousal, extremely positive state of intense well-being and agency, typically occurring as a peak internal emotional experience.",965,35,930,toward_right_pole,1,0.98,890,110,780,toward_right_pole,1,0.95,620,380,240,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,450,550,-100,toward_left_pole,-1,0.75
exasperated,google/gemini-3-flash-preview,ok,,"Exasperation is a high-arousal, negative state characterized by low agency and social friction, often resulting from repeated external frustrations.",210,790,-580,toward_left_pole,-1,0.95,740,260,480,toward_right_pole,1,0.9,320,680,-360,toward_left_pole,-1,0.85,410,590,-180,toward_left_pole,-1,0.8,680,320,360,toward_right_pole,1,0.85
excited,google/gemini-3-flash-preview,ok,,"Excitement is a high-arousal, positively-valenced state driven by the anticipation of rewarding stimuli, typically associated with high agency and moderate certainty.",820,180,640,toward_right_pole,1,0.95,880,120,760,toward_right_pole,1,0.98,650,350,300,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.8,450,550,-100,toward_left_pole,-1,0.75
excluded,google/gemini-3-flash-preview,ok,,"Excluded represents a low-valence, low-control state driven by social rejection, characterized by high social orientation and moderate uncertainty regarding one's status.",180,820,-640,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,150,850,-700,toward_left_pole,-1,0.9,610,390,220,toward_right_pole,1,0.8,880,120,760,toward_right_pole,1,0.95
exhilarated,google/gemini-3-flash-preview,ok,,"Exhilaration is a high-arousal, strongly positive emotion characterized by intense energy and a sense of personal triumph or thrill.",890,110,780,toward_right_pole,1,0.95,920,80,840,toward_right_pole,1,0.98,710,290,420,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.8,350,650,-300,toward_left_pole,-1,0.75
exposed,google/gemini-3-flash-preview,ok,,"Exposed denotes a state of vulnerable visibility, characterized by low control, high social orientation, and significant uncertainty regarding external judgment or harm.",280,720,-440,toward_left_pole,-1,0.85,640,360,280,toward_right_pole,1,0.8,210,790,-580,toward_left_pole,-1,0.9,720,280,440,toward_right_pole,1,0.8,780,220,560,toward_right_pole,1,0.85
fearful,google/gemini-3-flash-preview,ok,,"Fearful is a high-arousal, negative emotion defined by low agency and high uncertainty, primarily centered on the individual's immediate survival or safety.",180,820,-640,toward_left_pole,-1,0.95,820,180,640,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.75
fond,google/gemini-3-flash-preview,ok,,"Fondness is a highly positive, low-arousal emotion characterized by social warmth, familiarity, and a sense of stable, predictable affection toward an external target.",845,155,690,toward_right_pole,1,0.95,310,690,-380,toward_left_pole,-1,0.85,620,380,240,toward_right_pole,1,0.8,180,820,-640,toward_left_pole,-1,0.85,890,110,780,toward_right_pole,1,0.95
forgiving,google/gemini-3-flash-preview,ok,,"Forgiving is a high-valence, low-arousal prosocial state characterized by high agency and the intentional resolution of interpersonal conflict.",840,160,680,toward_right_pole,1,0.95,320,680,-360,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.8,910,90,820,toward_right_pole,1,0.95
forlorn,google/gemini-3-flash-preview,ok,,"Forlorn represents a low-arousal, highly negative state of helplessness and isolation, typically following a significant loss or abandonment where the individual feels no control.",115,885,-770,toward_left_pole,-1,0.95,280,720,-440,toward_left_pole,-1,0.85,105,895,-790,toward_left_pole,-1,0.9,420,580,-160,toward_left_pole,-1,0.8,310,690,-380,toward_left_pole,-1,0.85
fragile,google/gemini-3-flash-preview,ok,,"Fragility denotes a low-control, vulnerable state with negative valence, characterized by high uncertainty regarding one's stability and a cautious, low-to-moderate arousal level.",310,690,-380,toward_left_pole,-1,0.9,420,580,-160,toward_left_pole,-1,0.85,120,880,-760,toward_left_pole,-1,0.95,780,220,560,toward_right_pole,1,0.8,450,550,-100,toward_left_pole,-1,0.75
frightened,google/gemini-3-flash-preview,ok,,"Frightened is a high-arousal, negative-valence state marked by low control and high uncertainty, primarily focused on self-preservation in response to perceived threats.",180,820,-640,toward_left_pole,-1,0.95,820,180,640,toward_right_pole,1,0.92,210,790,-580,toward_left_pole,-1,0.88,740,260,480,toward_right_pole,1,0.85,350,650,-300,toward_left_pole,-1,0.75
frustrated,google/gemini-3-flash-preview,ok,,"Frustration is a high-arousal, low-valence state marked by low agency and perceived powerlessness against obstacles preventing goal attainment.",210,790,-580,toward_left_pole,-1,0.95,680,320,360,toward_right_pole,1,0.9,240,760,-520,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,350,650,-300,toward_left_pole,-1,0.75
fulfilled,google/gemini-3-flash-preview,ok,,"Fulfilled represents a high-valence, high-control state of calm satisfaction following the attainment of meaningful goals, characterized by low uncertainty and moderate self-focus.",910,90,820,toward_right_pole,1,0.98,380,620,-240,toward_left_pole,-1,0.92,840,160,680,toward_right_pole,1,0.95,120,880,-760,toward_left_pole,-1,0.9,450,550,-100,toward_left_pole,-1,0.85
furious,google/gemini-3-flash-preview,ok,,"Furious represents high-arousal, negative-valence anger, characterized by a strong sense of agency and an outward social focus toward a specific cause.",115,885,-770,toward_left_pole,-1,0.98,940,60,880,toward_right_pole,1,0.99,680,320,360,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.8,720,280,440,toward_right_pole,1,0.88
glad,google/gemini-3-flash-preview,ok,,"Glad is a high-valence, low-arousal emotion characterized by certainty and satisfaction, often occurring after a positive resolution or social interaction.",845,155,690,toward_right_pole,1,0.98,420,580,-160,toward_left_pole,-1,0.92,680,320,360,toward_right_pole,1,0.88,180,820,-640,toward_left_pole,-1,0.9,550,450,100,toward_right_pole,1,0.85
gloomy,google/gemini-3-flash-preview,ok,,"Gloomy is a low-arousal, negative affective state characterized by internal withdrawal, low agency, and a pervasive sense of sadness or pessimism.",210,790,-580,toward_left_pole,-1,0.95,280,720,-440,toward_left_pole,-1,0.9,320,680,-360,toward_left_pole,-1,0.85,410,590,-180,toward_left_pole,-1,0.8,240,760,-520,toward_left_pole,-1,0.85
grateful,google/gemini-3-flash-preview,ok,,"Grateful is a highly positive, low-to-mid arousal state characterized by strong social orientation and a sense of certainty following a beneficial outcome.",890,110,780,toward_right_pole,1,0.98,420,580,-160,toward_left_pole,-1,0.9,610,390,220,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.88,920,80,840,toward_right_pole,1,0.95
grief-stricken,google/gemini-3-flash-preview,ok,,"Grief-stricken is a highly negative, high-arousal state marked by a profound lack of control and a focus on lost social connection.",42,958,-916,toward_left_pole,-1,0.98,710,290,420,toward_right_pole,1,0.85,115,885,-770,toward_left_pole,-1,0.92,680,320,360,toward_right_pole,1,0.8,840,160,680,toward_right_pole,1,0.88
guarded,google/gemini-3-flash-preview,ok,,"Guardedness is a low-arousal, self-protective state marked by caution and social withdrawal in response to perceived uncertainty or potential interpersonal threat.",380,620,-240,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,610,390,220,toward_right_pole,1,0.75,720,280,440,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8
guilty,google/gemini-3-flash-preview,ok,,"Guilt is a negative, moderately arousing social emotion triggered by certain knowledge of harming others, characterized by low agency and high other-orientation.",180,820,-640,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,320,680,-360,toward_left_pole,-1,0.88,210,790,-580,toward_left_pole,-1,0.82,890,110,780,toward_right_pole,1,0.92
happy,google/gemini-3-flash-preview,ok,,"Happy is a prototypical positive emotion characterized by high valence, moderate arousal, and a strong sense of personal control and predictability.",920,80,840,toward_right_pole,1,0.98,610,390,220,toward_right_pole,1,0.92,780,220,560,toward_right_pole,1,0.9,180,820,-640,toward_left_pole,-1,0.88,450,550,-100,toward_left_pole,-1,0.85
hateful,google/gemini-3-flash-preview,ok,,"Hateful is a high-arousal, deeply negative social emotion characterized by strong certainty and a perceived sense of agency or dominance over the target.",42,958,-916,toward_left_pole,-1,0.98,815,185,630,toward_right_pole,1,0.95,680,320,360,toward_right_pole,1,0.85,120,880,-760,toward_left_pole,-1,0.9,890,110,780,toward_right_pole,1,0.95
haunted,google/gemini-3-flash-preview,ok,,"Haunted describes a low-valence, low-control state of persistent mental intrusion, characterized by moderate-to-high arousal and a sense of being overwhelmed by inescapable, unpredictable memories.",180,820,-640,toward_left_pole,-1,0.95,620,380,240,toward_right_pole,1,0.85,140,860,-720,toward_left_pole,-1,0.9,710,290,420,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.75
heartbroken,google/gemini-3-flash-preview,ok,,"Heartbroken is a deeply negative, low-control state centered on interpersonal loss, typically manifesting as low-arousal despair following a definitive social rupture.",42,958,-916,toward_left_pole,-1,0.98,410,590,-180,toward_left_pole,-1,0.85,115,885,-770,toward_left_pole,-1,0.92,380,620,-240,toward_left_pole,-1,0.8,720,280,440,toward_right_pole,1,0.88
helpless,google/gemini-3-flash-preview,ok,,"Helplessness is characterized by a near-total absence of control, negative valence, and high uncertainty, often resulting in moderate to low physiological arousal.",120,880,-760,toward_left_pole,-1,0.95,410,590,-180,toward_left_pole,-1,0.85,45,955,-910,toward_left_pole,-1,0.98,780,220,560,toward_right_pole,1,0.9,320,680,-360,toward_left_pole,-1,0.8
hesitant,google/gemini-3-flash-preview,ok,,"Hesitancy is defined by high uncertainty and low control, representing a state of inhibited activation and mild unpleasantness during decision-making.",410,590,-180,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,320,680,-360,toward_left_pole,-1,0.9,880,120,760,toward_right_pole,1,0.95,480,520,-40,balanced,0,0.75
homesick,google/gemini-3-flash-preview,ok,,"Homesickness is a negative, low-arousal state driven by social longing and a perceived lack of agency over one's current location or environment.",210,790,-580,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,310,690,-380,toward_left_pole,-1,0.9,380,620,-240,toward_left_pole,-1,0.8,780,220,560,toward_right_pole,1,0.9
hopeful,google/gemini-3-flash-preview,ok,,"Hope is a positive-valence, future-oriented emotion characterized by moderate arousal and high uncertainty regarding the eventual outcome.",840,160,680,toward_right_pole,1,0.95,520,480,40,balanced,0,0.85,610,390,220,toward_right_pole,1,0.8,720,280,440,toward_right_pole,1,0.9,450,550,-100,toward_left_pole,-1,0.75
hopeless,google/gemini-3-flash-preview,ok,,"Hopelessness is a low-arousal, highly negative state marked by a profound lack of control and a bleak certainty regarding future failure.",85,915,-830,toward_left_pole,-1,0.98,210,790,-580,toward_left_pole,-1,0.92,45,955,-910,toward_left_pole,-1,0.98,180,820,-640,toward_left_pole,-1,0.85,320,680,-360,toward_left_pole,-1,0.8
horrified,google/gemini-3-flash-preview,ok,,"Horrified is a high-arousal, low-valence state marked by a lack of control and shock, often occurring in response to external social or moral violations.",42,958,-916,toward_left_pole,-1,0.98,890,110,780,toward_right_pole,1,0.95,115,885,-770,toward_left_pole,-1,0.92,780,220,560,toward_right_pole,1,0.88,610,390,220,toward_right_pole,1,0.85
hostile,google/gemini-3-flash-preview,ok,,"Hostility is a high-arousal, negative-valence state characterized by social antagonism and a relatively high sense of agency or control over the target.",180,820,-640,toward_left_pole,-1,0.95,760,240,520,toward_right_pole,1,0.92,620,380,240,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
humiliated,google/gemini-3-flash-preview,ok,,"Humiliation is a highly negative, low-control social emotion triggered by public devaluation, resulting in significant physiological arousal and a focus on external perception.",85,915,-830,toward_left_pole,-1,0.98,620,380,240,toward_right_pole,1,0.92,110,890,-780,toward_left_pole,-1,0.95,450,550,-100,toward_left_pole,-1,0.85,890,110,780,toward_right_pole,1,0.96
hurt,google/gemini-3-flash-preview,ok,,"Hurt is a highly negative, low-control, and socially-oriented emotion typically resulting from perceived interpersonal rejection or betrayal.",120,880,-760,toward_left_pole,-1,0.95,480,520,-40,balanced,0,0.85,210,790,-580,toward_left_pole,-1,0.9,450,550,-100,toward_left_pole,-1,0.8,780,220,560,toward_right_pole,1,0.9
hysterical,google/gemini-3-flash-preview,ok,,"Hysterical denotes an extreme, high-arousal state of emotional dysregulation and loss of control, usually perceived as negative and highly unpredictable.",210,790,-580,toward_left_pole,-1,0.9,980,20,960,toward_right_pole,1,0.95,85,915,-830,toward_left_pole,-1,0.95,890,110,780,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.75
impatient,google/gemini-3-flash-preview,ok,,"Impatience is a high-arousal, low-valence state driven by a lack of control over delays and a self-focused desire for immediate goal attainment.",320,680,-360,toward_left_pole,-1,0.9,680,320,360,toward_right_pole,1,0.95,380,620,-240,toward_left_pole,-1,0.85,610,390,220,toward_right_pole,1,0.8,450,550,-100,toward_left_pole,-1,0.75
indignant,google/gemini-3-flash-preview,ok,,"Indignation is a high-arousal, social emotion triggered by perceived unfairness, characterized by moral certainty and a negative but empowered affective state.",210,790,-580,toward_left_pole,-1,0.95,740,260,480,toward_right_pole,1,0.9,680,320,360,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.8,820,180,640,toward_right_pole,1,0.9
infatuated,google/gemini-3-flash-preview,ok,,"Infatuation is a high-arousal, positive state focused on another person, often involving a loss of personal control and significant situational uncertainty.",780,220,560,toward_right_pole,1,0.9,820,180,640,toward_right_pole,1,0.95,310,690,-380,toward_left_pole,-1,0.85,640,360,280,toward_right_pole,1,0.8,890,110,780,toward_right_pole,1,0.9
insecure,google/gemini-3-flash-preview,ok,,"Insecurity is a low-valence, low-control state defined by high uncertainty and moderate anxious arousal, primarily centered on self-doubt within social or personal contexts.",210,790,-580,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,140,860,-720,toward_left_pole,-1,0.95,890,110,780,toward_right_pole,1,0.9,420,580,-160,toward_left_pole,-1,0.8
inspired,google/gemini-3-flash-preview,ok,,"Inspiration is a highly positive, activating state characterized by a sense of agency and often triggered by external excellence or novel insights.",880,120,760,toward_right_pole,1,0.95,650,350,300,toward_right_pole,1,0.9,720,280,440,toward_right_pole,1,0.85,410,590,-180,toward_left_pole,-1,0.8,580,420,160,toward_right_pole,1,0.75
insulted,google/gemini-3-flash-preview,ok,,"Insulted is a high-arousal, negative social emotion characterized by a perceived loss of agency and a strong orientation toward the offending party.",180,820,-640,toward_left_pole,-1,0.95,680,320,360,toward_right_pole,1,0.9,310,690,-380,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
intimidated,google/gemini-3-flash-preview,ok,,"Intimidation is a low-valence, high-arousal state defined by low personal control and high social orientation, typically triggered by an external perceived threat.",210,790,-580,toward_left_pole,-1,0.95,680,320,360,toward_right_pole,1,0.9,120,880,-760,toward_left_pole,-1,0.98,740,260,480,toward_right_pole,1,0.85,890,110,780,toward_right_pole,1,0.92
invigorated,google/gemini-3-flash-preview,ok,,"Invigorated represents a high-arousal, positive state of empowerment and readiness, reflecting strong internal agency and low uncertainty.",880,120,760,toward_right_pole,1,0.95,820,180,640,toward_right_pole,1,0.95,790,210,580,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,350,650,-300,toward_left_pole,-1,0.8
irate,google/gemini-3-flash-preview,ok,,"Irate is a high-arousal, negative emotion characterized by intense anger, high agency, and a strong social focus toward the source of frustration.",110,890,-780,toward_left_pole,-1,0.95,920,80,840,toward_right_pole,1,0.98,680,320,360,toward_right_pole,1,0.85,240,760,-520,toward_left_pole,-1,0.8,710,290,420,toward_right_pole,1,0.88
irked,google/gemini-3-flash-preview,ok,,"Irked is a low-intensity, negative state of annoyance typically triggered by social friction or minor external inconveniences.",310,690,-380,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.9,480,520,-40,balanced,0,0.85,350,650,-300,toward_left_pole,-1,0.8,620,380,240,toward_right_pole,1,0.85
irritated,google/gemini-3-flash-preview,ok,,Irritation is a low-to-mid arousal negative state characterized by frustration with external obstacles and a moderate sense of diminished agency.,280,720,-440,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.9,410,590,-180,toward_left_pole,-1,0.85,320,680,-360,toward_left_pole,-1,0.8,450,550,-100,toward_left_pole,-1,0.75
isolated,google/gemini-3-flash-preview,ok,,"Isolation is a low-arousal, unpleasant state marked by low agency and a focus on the self's disconnection from the social environment.",210,790,-580,toward_left_pole,-1,0.95,320,680,-360,toward_left_pole,-1,0.85,280,720,-440,toward_left_pole,-1,0.9,450,550,-100,toward_left_pole,-1,0.8,120,880,-760,toward_left_pole,-1,0.95
jealous,google/gemini-3-flash-preview,ok,,"Jealousy is a high-arousal, negative social emotion rooted in uncertainty and perceived loss of control within interpersonal relationships.",210,790,-580,toward_left_pole,-1,0.95,740,260,480,toward_right_pole,1,0.9,320,680,-360,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.88,890,110,780,toward_right_pole,1,0.92
jittery,google/gemini-3-flash-preview,ok,,"Jittery describes a high-arousal, low-valence state of nervous agitation, typically involving low perceived control and a focus on internal physical instability.",320,680,-360,toward_left_pole,-1,0.9,780,220,560,toward_right_pole,1,0.95,280,720,-440,toward_left_pole,-1,0.85,650,350,300,toward_right_pole,1,0.8,150,850,-700,toward_left_pole,-1,0.85
joyful,google/gemini-3-flash-preview,ok,,"Joyful is a highly positive, moderately arousing state associated with high control and low uncertainty, often occurring in social or achievement contexts.",945,55,890,toward_right_pole,1,0.98,680,320,360,toward_right_pole,1,0.92,720,280,440,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.88,550,450,100,toward_right_pole,1,0.8
jubilant,google/gemini-3-flash-preview,ok,,"Jubilant is a high-arousal, highly positive emotion signifying triumph and certainty, often expressed through social celebration and a strong sense of agency.",945,55,890,toward_right_pole,1,0.98,820,180,640,toward_right_pole,1,0.95,780,220,560,toward_right_pole,1,0.9,150,850,-700,toward_left_pole,-1,0.85,610,390,220,toward_right_pole,1,0.8
let down,google/gemini-3-flash-preview,ok,,"Being let down is a low-arousal, unpleasant state resulting from failed social expectations, characterized by low control and a focus on others' shortcomings.",210,790,-580,toward_left_pole,-1,0.95,320,680,-360,toward_left_pole,-1,0.85,280,720,-440,toward_left_pole,-1,0.9,450,550,-100,toward_left_pole,-1,0.8,740,260,480,toward_right_pole,1,0.9
lighthearted,google/gemini-3-flash-preview,ok,,"Lightheartedness is a positive, low-stress state characterized by a lack of gravity or worry, reflecting high valence and moderate control.",880,120,760,toward_right_pole,1,0.95,420,580,-160,toward_left_pole,-1,0.85,710,290,420,toward_right_pole,1,0.8,280,720,-440,toward_left_pole,-1,0.75,450,550,-100,toward_left_pole,-1,0.7
lonely,google/gemini-3-flash-preview,ok,,"Loneliness is a low-arousal, negative state defined by a lack of agency and a profound focus on missing social connections.",180,820,-640,toward_left_pole,-1,0.95,320,680,-360,toward_left_pole,-1,0.85,210,790,-580,toward_left_pole,-1,0.9,450,550,-100,toward_left_pole,-1,0.8,880,120,760,toward_right_pole,1,0.9
longing,google/gemini-3-flash-preview,ok,,"Longing is a bittersweet, low-agency state focused on an absent external object, blending moderate uncertainty with a strong social or relational orientation.",410,590,-180,toward_left_pole,-1,0.85,480,520,-40,balanced,0,0.8,320,680,-360,toward_left_pole,-1,0.9,610,390,220,toward_right_pole,1,0.75,740,260,480,toward_right_pole,1,0.85
lovestruck,google/gemini-3-flash-preview,ok,,"Lovestruck is a highly positive, high-arousal state where the individual feels overwhelmed by affection for another, sacrificing personal control for social preoccupation.",890,110,780,toward_right_pole,1,0.95,820,180,640,toward_right_pole,1,0.92,310,690,-380,toward_left_pole,-1,0.88,640,360,280,toward_right_pole,1,0.85,910,90,820,toward_right_pole,1,0.95
loving,google/gemini-3-flash-preview,ok,,"Loving is a highly positive, prosocial state characterized by high social orientation, stability, and moderate arousal, reflecting deep interpersonal connection and emotional security.",945,55,890,toward_right_pole,1,0.98,520,480,40,balanced,0,0.85,710,290,420,toward_right_pole,1,0.88,210,790,-580,toward_left_pole,-1,0.82,960,40,920,toward_right_pole,1,0.99
melancholic,google/gemini-3-flash-preview,ok,,"Melancholy is a low-arousal, negative-valence state defined by introspective sadness, low agency, and a focus on internal feelings rather than external social interaction.",280,720,-440,toward_left_pole,-1,0.95,210,790,-580,toward_left_pole,-1,0.9,340,660,-320,toward_left_pole,-1,0.85,310,690,-380,toward_left_pole,-1,0.8,250,750,-500,toward_left_pole,-1,0.85
miserable,google/gemini-3-flash-preview,ok,,"Miserable is a highly negative, low-arousal state defined by helplessness and internal focus on one's own suffering.",85,915,-830,toward_left_pole,-1,0.98,310,690,-380,toward_left_pole,-1,0.85,120,880,-760,toward_left_pole,-1,0.92,450,550,-100,toward_left_pole,-1,0.8,280,720,-440,toward_left_pole,-1,0.88
mistrustful,google/gemini-3-flash-preview,ok,,"Mistrustful is a high-uncertainty, low-valence state characterized by social suspicion and a defensive, vigilant posture toward others.",210,790,-580,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,340,660,-320,toward_left_pole,-1,0.88,890,110,780,toward_right_pole,1,0.92,820,180,640,toward_right_pole,1,0.9
mortified,google/gemini-3-flash-preview,ok,,"Mortification is an intense, high-arousal form of shame characterized by low control and a strong focus on negative social evaluation.",115,885,-770,toward_left_pole,-1,0.95,780,220,560,toward_right_pole,1,0.9,140,860,-720,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
moved,google/gemini-3-flash-preview,ok,,"Being moved is a prosocial, bittersweet emotion characterized by high social orientation and a moderate loss of control as one is affected by external goodness.",780,220,560,toward_right_pole,1,0.9,620,380,240,toward_right_pole,1,0.85,410,590,-180,toward_left_pole,-1,0.8,450,550,-100,toward_left_pole,-1,0.75,890,110,780,toward_right_pole,1,0.95
needy,google/gemini-3-flash-preview,ok,,"Needy reflects a low-control, high-dependency state that is socially oriented toward others, typically involving negative valence and moderate-to-high anxious arousal.",280,720,-440,toward_left_pole,-1,0.9,610,390,220,toward_right_pole,1,0.85,190,810,-620,toward_left_pole,-1,0.95,680,320,360,toward_right_pole,1,0.8,890,110,780,toward_right_pole,1,0.95
nervous,google/gemini-3-flash-preview,ok,,"Nervousness is a high-arousal, unpleasant state defined by low agency and high uncertainty about an upcoming event.",320,680,-360,toward_left_pole,-1,0.95,740,260,480,toward_right_pole,1,0.98,310,690,-380,toward_left_pole,-1,0.92,880,120,760,toward_right_pole,1,0.96,450,550,-100,toward_left_pole,-1,0.85
nostalgic,google/gemini-3-flash-preview,ok,,"Nostalgia is a bittersweet, low-arousal emotion focused on certain past events, often involving social themes and a slight lack of agency over the passage of time.",680,320,360,toward_right_pole,1,0.9,320,680,-360,toward_left_pole,-1,0.85,450,550,-100,toward_left_pole,-1,0.8,150,850,-700,toward_left_pole,-1,0.85,620,380,240,toward_right_pole,1,0.8
numb,google/gemini-3-flash-preview,ok,,"Numbness is a low-arousal, negative state marked by emotional detachment, a lack of control, and internal withdrawal, often serving as a psychological defense mechanism.",210,790,-580,toward_left_pole,-1,0.9,85,915,-830,toward_left_pole,-1,0.95,180,820,-640,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.75,150,850,-700,toward_left_pole,-1,0.8
